//Indexing Sort Option: Numeric
//Description: BRANCHES THAT ARE NOT VALID
//
//Modification History:
//2015-06-26        Dinesh      Modified (BQL_QLD BSB allows branch 000, so commented out BQL set)
// Format: BSB, Description


//Bank of Queensland (BQL in QLD can have branches 000, so commented out this set) Dinesh 2015-Jun-29
653436,Invalid Branch
653437,Invalid Branch
653438,Invalid Branch
653439,Invalid Branch
653440,Invalid Branch
653441,Invalid Branch
653442,Invalid Branch
653443,Invalid Branch
653444,Invalid Branch
653445,Invalid Branch
653446,Invalid Branch
653447,Invalid Branch
653448,Invalid Branch
653449,Invalid Branch
653450,Invalid Branch
653451,Invalid Branch
653452,Invalid Branch
653453,Invalid Branch
653454,Invalid Branch
653455,Invalid Branch
653456,Invalid Branch
653457,Invalid Branch
653458,Invalid Branch
653459,Invalid Branch
653460,Invalid Branch
653461,Invalid Branch
653462,Invalid Branch
653463,Invalid Branch
653464,Invalid Branch
653465,Invalid Branch
653466,Invalid Branch
653467,Invalid Branch
653468,Invalid Branch
653469,Invalid Branch
653470,Invalid Branch
653471,Invalid Branch
653472,Invalid Branch
653473,Invalid Branch
653474,Invalid Branch
653475,Invalid Branch
653476,Invalid Branch
653477,Invalid Branch
653478,Invalid Branch
653479,Invalid Branch
653480,Invalid Branch
653481,Invalid Branch
653482,Invalid Branch
653483,Invalid Branch
653484,Invalid Branch
653485,Invalid Branch
653486,Invalid Branch
653487,Invalid Branch
653488,Invalid Branch
653489,Invalid Branch
653490,Invalid Branch
653491,Invalid Branch
653492,Invalid Branch
653493,Invalid Branch
653494,Invalid Branch
653495,Invalid Branch
653496,Invalid Branch
653497,Invalid Branch
653498,Invalid Branch
653499,Invalid Branch
653500,Invalid Branch
653501,Invalid Branch
653502,Invalid Branch
653503,Invalid Branch
653504,Invalid Branch
653505,Invalid Branch
653506,Invalid Branch
653507,Invalid Branch
653508,Invalid Branch
653509,Invalid Branch
653510,Invalid Branch
653511,Invalid Branch
653512,Invalid Branch
653513,Invalid Branch
653514,Invalid Branch
653515,Invalid Branch
653516,Invalid Branch
653517,Invalid Branch
653518,Invalid Branch
