//_______________________________________________________________________
// Column 1 = Bank Number , State Number and TC : e.g 12 + 2 + 50
// Column 2 = EAD valid entries: length ranges, B for blank, O for Optional  : Max 4 rules split by ? symbol
// Column 3 = Serial valid entries
//_________________________________________________________________________________________  


//HSBC
244GFGTERM81,4-12?B,B
244GFGTERM82,4-12?B,B
244GFGTERM83,4-12?B,B
244GFGTERM84,4-12?B,B
244GFGTERM85,4-12?B,B
244GFGTERM86,4-12?B,B
244GFGTERM87,4-12?B,B
244GFGTERM89,4-12?B,B
244GFGTERM90,4-12?B,B
244GFGTERM91,4-12?B,B
244GFGTERM92,4-12?B,B
244GFGTERM94,4-12?B,B
244GFGTERM95,4-12?B,B
244GFGTERM97,4-12?B,B
244GFGTERM99,4-12?B,B

245GFGTERM51,4-12?B,B
245GFGTERM52,4-12?B,B
245GFGTERM53,4-12?B,B
245GFGTERM54,4-12?B,B
245GFGTERM55,4-12?B,B
245GFGTERM56,4-12?B,B
245GFGTERM57,4-12?B,B
245GFGTERM59,4-12?B,B
245GFGTERM62,4-12?B,B
245GFGTERM63,4-12?B,B
245GFGTERM64,4-12?B,B
245GFGTERM65,4-12?B,B
245GFGTERM66,4-12?B,B
245GFGTERM67,4-12?B,B
245GFGTERM68,4-12?B,B
245GFGTERM69,4-12?B,B
245GFGTERM70,4-12?B,B
245GFGTERM71,4-12?B,B
245GFGTERM72,4-12?B,B
245GFGTERM73,4-12?B,B
245GFGTERM74,4-12?B,B
245GFGTERM75,4-12?B,B
245GFGTERM76,4-12?B,B
245GFGTERM77,4-12?B,B
245GFGTERM78,4-12?B,B
245GFGTERM79,4-12?B,B
245GFGTERM80,4-12?B,B
245GFGTERM81,4-12?B,B
245GFGTERM82,4-12?B,B
245GFGTERM83,4-12?B,B
245GFGTERM84,4-12?B,B
245GFGTERM85,4-12?B,B
245GFGTERM86,4-12?B,B
245GFGTERM87,4-12?B,B
245GFGTERM89,4-12?B,B
245GFGTERM90,4-12?B,B
245GFGTERM91,4-12?B,B
245GFGTERM92,4-12?B,B
245GFGTERM94,4-12?B,B
245GFGTERM95,4-12?B,B
245GFGTERM97,4-12?B,B
245GFGTERM99,4-12?B,B

246GFGTERM51,4-12?B,B
246GFGTERM52,4-12?B,B
246GFGTERM53,4-12?B,B
246GFGTERM54,4-12?B,B
246GFGTERM55,4-12?B,B
246GFGTERM56,4-12?B,B
246GFGTERM57,4-12?B,B
246GFGTERM59,4-12?B,B
246GFGTERM62,4-12?B,B
246GFGTERM63,4-12?B,B
246GFGTERM64,4-12?B,B
246GFGTERM65,4-12?B,B
246GFGTERM66,4-12?B,B
246GFGTERM67,4-12?B,B
